Sehir,Marka,Seri,Model,Yil,Yakit,Km,Hp,Cc,Fiyat,Sehirici,Sehirdisi,Ortalama,Bagaj
Istanbul,Opel ,1.4 Essentia ,Corsa ,2018,Benzin,34000,90,1398,155000,7.8,4.9,6.0,285.0
Izmir,Toyota ,1.33 Fun Special ,Yaris ,2016,Benzin,37500,99,1329,157500,6.3,4.5,5.1,286.0
Tekirdag,Opel ,1.4 Enjoy ,Corsa ,2015,Benzin,25000,90,1398,156500,7.8,4.9,6.0,285.0
Denizli,Ford ,1.6 Titanium ,Fiesta ,2014,Benzin,38900,105,1596,160000,8.4,4.5,5.9,290.0
Manisa,Hyundai ,1.4 MPI Jump ,i20 ,2018,Benzin,44000,100,1368,155000,8.5,5.1,6.4,301.0
Tokat,Renault ,1.2 Turbo Joy ,Clio ,2018,Benzin,22000,120,1197,160000,6.6,4.4,5.2,300.0
Istanbul,Nissan ,1.2 Match ,Micra ,2018,Benzin,19000,80,1198,155000,6.7,4.6,5.4,265.0
Bursa,Hyundai ,1.4 MPI Jump ,i20 ,2018,Benzin,30000,100,1368,151000,8.5,5.1,6.4,301.0
Istanbul,Renault ,1.5 dCi Touch ,Clio ,2017,Dizel,44000,90,1461,156750,4.3,3.3,3.7,300.0
Istanbul,Kia ,1.4 CVVT Comfort ,Rio ,2017,Benzin,42000,100,1368,155850,8.2,4.9,6.1,325.0
Sanliurfa,Renault ,1.0 TCe Touch ,Clio ,2020,Benzin,6500,100,999,155000,6.3,4.1,5.0,391.0
Istanbul,Hyundai ,1.4 MPI Style  ,i20 ,2016,Benzin & LPG,50000,100,1368,156000,8.5,5.1,6.4,301.0
Diyarbakir,Volkswagen ,1.6 TDI Comfortline ,Jetta ,2011,Dizel,215,105,1598,158000,5.6,4.2,4.7,510.0
Osmaniye,Opel ,1.4 Enjoy ,Corsa ,2017,Benzin,39500,90,1398,158900,7.8,4.9,6.0,285.0
Konya,Toyota ,1.33 Fun Special ,Yaris ,2015,Benzin,34000,99,1329,155000,5.6,4.3,4.8,286.0
Istanbul,Peugeot ,Allure  ,208 1.2 PureTech ,2015,Benzin,48000,82,1199,156000,5.5,3.9,4.5,285.0
Antalya,Hyundai ,1.4 MPI Jump ,i20 ,2018,Benzin,48000,100,1368,156950,8.5,5.1,6.4,301.0
Sakarya,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2020,Benzin,0,90,898,159500,5.7,4.7,5.1,320.0
Istanbul,Dacia ,1.5 dCi Stepway ,Sandero ,2017,Dizel,37900,90,1461,154000,3.9,3.8,3.8,320.0
Istanbul,Peugeot ,Active  ,208 1.2 PureTech ,2017,Benzin,22000,110,1199,155000,5.7,3.8,4.5,285.0
Ankara,Opel ,1.4 Enjoy ,Corsa ,2016,Benzin,38000,90,1398,158500,7.8,4.9,6.0,285.0
Ankara,Fiat ,1.6 E-Torq Urban Plus ,Egea ,2017,Benzin,43000,110,1598,155000,9.2,4.6,6.3,440.0
Istanbul,Fiat ,1.6 E-Torq Easy ,Egea ,2019,Benzin,33000,110,1598,156000,8.5,5.0,6.3,520.0
Istanbul,Hyundai ,1.4 MPI Jump ,i20 ,2017,Benzin,25000,100,1368,158850,8.2,4.8,6.2,301.0
Bursa,Alfa Romeo ,1.9 JTD Distinctive Plus ,159 ,2009,Dizel,269,150,1910,153250,9.9,5.5,7.1,405.0
Istanbul,Toyota ,1.4 D-4D Advance ,Corolla ,2013,Dizel,125,90,1364,160750,4.9,3.7,4.1,452.0
Izmir,Ford ,1.6 Trend X ,Fiesta ,2016,Benzin,30000,105,1596,158500,8.4,4.5,5.9,290.0
Istanbul,Honda ,1.6i VTEC Elegance ,Civic ,2014,Benzin,45800,125,1598,158500,9.5,5.1,6.7,440.0
Izmir,Opel ,1.4 Enjoy ,Corsa ,2019,Benzin,45000,90,1398,159900,7.8,4.9,6.0,285.0
Malatya,Opel ,1.4 Enjoy ,Corsa ,2017,Benzin,38000,90,1398,157000,7.8,4.9,6.0,285.0
Konya,Toyota ,1.5 Fun Special ,Yaris ,2018,Benzin,27000,111,1496,160500,6.0,4.1,4.8,286.0
Bursa,Hyundai ,1.4 CVVT Sense ,i20 ,2014,Benzin,22800,100,1396,152000,8.1,4.8,6.0,295.0
Ankara,Renault ,1.5 dCi Privilege ,Megane ,2011,Dizel,185,110,1461,155000,5.2,4.0,4.4,344.0
Van,Fiat ,1.6 E-Torq Urban ,Egea ,2016,Benzin & LPG,47500,110,1598,151000,8.5,5.0,6.3,520.0
Antalya,Volkswagen ,1.6 Trendline ,Golf ,2011,Benzin,48000,102,1595,157500,8.8,5.5,6.7,350.0
Hatay,Opel ,1.4 Enjoy ,Corsa ,2017,Benzin & LPG,32200,90,1398,161000,7.8,4.9,6.0,285.0
Istanbul,Ford ,1.4 Titanium X  ,Fiesta ,2012,Benzin,46000,88.0,1450.5,155000,nan,,,
Denizli,Ford ,1.6 Ti-VCT Trend X ,Focus ,2017,Benzin & LPG,40000,125,1596,153000,8.7,4.9,6.3,316.0
Antalya,Hyundai ,1.6 CRDI Biz ,Accent Blue ,2015,Dizel,37000,136,1582,156500,5.7,4.0,4.6,465.0
Izmir,Suzuki ,1.2 GL ,Swift ,2020,Benzin,11800,90,1242,159000,5.9,4.3,4.9,265.0
Istanbul,Citroen ,1.6 VTi Feel ,C3 ,2017,Benzin & LPG,37800,115,1587,155000,9.2,5.3,6.8,300.0
Istanbul,Nissan ,1.2 Match ,Micra ,2018,Benzin,21000,80,1198,151500,6.7,4.6,5.4,265.0
