Sehir,Marka,Seri,Model,Yil,Yakit,Km,Hp,Cc,Fiyat,Sehirici,Sehirdisi,Ortalama,Bagaj
Hatay,Renault ,1.5 dCi SportTourer Icon ,Clio ,2017,Dizel,38425,90,1461,179750,4.3,3.3,3.7,443.0
Istanbul,Renault ,1.0 TCe Joy ,Clio ,2020,Benzin,0,100,999,179750,6.3,4.1,5.0,391.0
Istanbul,Suzuki ,1.2 GLX  ,Swift ,2019,Benzin,14000,90,1242,179750,5.9,4.3,4.9,242.0
Ankara,Opel ,1.4 Enjoy ,Corsa ,2019,Benzin,32000,90,1398,179750,7.8,4.9,6.0,285.0
Kayseri,Honda ,1.3 Elegance ,Jazz ,2016,Benzin,29550,102,1318,179750,5.5,4.5,4.9,354.0
Istanbul,Volkswagen ,1.4 TDI Comfortline ,Polo ,2016,Dizel,48000,90,1422,179750,3.9,3.3,3.5,280.0
Ankara,Hyundai ,1.4 MPI Style  ,i20 ,2018,Benzin,37800,100,1368,179750,8.5,5.1,6.4,301.0
Istanbul,Hyundai ,1.4 MPI Style  ,i20 ,2017,Benzin & LPG,24000,100,1368,179800,8.5,5.1,6.4,301.0
Konya,Hyundai ,1.4 MPI Style  ,i20 ,2017,Benzin,37000,100,1368,179850,8.5,5.1,6.4,301.0
Istanbul,Renault ,1.5 dCi Touch ,Megane ,2017,Dizel,49700,110,1461,179850,4.2,3.6,3.8,503.0
Adana,Ford ,1.6 Ti-VCT Style ,Focus ,2015,Benzin,41000,125,1596,179850,8.7,4.9,6.3,421.0
Istanbul,Renault ,1.5 dCi Icon ,Clio ,2019,Dizel,44000,90,1461,179850,4.3,3.3,3.7,300.0
Bartin,Volkswagen ,1.2 TSI Comfortline ,Polo ,2016,Benzin,35000,90,1197,179900,5.8,4.1,4.7,280.0
Istanbul,BMW ,116i Premium ,1 Serisi ,2011,Benzin,19000,136,1598,179900,7.2,4.7,5.6,360.0
Isparta,Volkswagen ,1.2 TSI Comfortline ,Polo ,2016,Benzin,13800,90,1197,179900,5.8,4.1,4.7,280.0
Ankara,Hyundai ,1.6 CRDi Elite ,Elantra ,2016,Dizel,32500,136,1582,179900,4.7,3.8,4.1,458.0
Ankara,Renault ,1.0 TCe Joy ,Clio ,2020,Benzin,0,100,999,177900,6.3,4.1,5.0,391.0
Ankara,Renault ,1.5 dCi Icon ,Clio ,2017,Dizel,31000,90,1461,179900,4.3,3.3,3.7,300.0
Istanbul,Volkswagen ,1.0 TSI Highline  ,Polo ,2017,Benzin,46000,95,999,179900,5.7,4.0,4.6,351.0
Istanbul,Volkswagen ,1.2 TSI Comfortline ,Polo ,2015,Benzin,28000,90,1197,179900,5.8,4.1,4.7,280.0
Mersin,Opel ,1.4 120.Yil ,Corsa ,2019,Benzin,27000,90,1398,179900,7.8,4.9,6.0,285.0
Ankara,Citroen ,Feel ,C3 1.2 PureTech ,2019,Benzin,20000,110,1199,179900,5.7,4.3,4.8,300.0
Trabzon,Mitsubishi ,1.2 Intense  ,Space Star ,2020,Benzin,0,80,1193,179900,5.9,4.7,5.1,175.0
Trabzon,Dacia ,1.5 dCi Stepway Style  ,Sandero ,2018,Dizel,20000,90,1461,179900,3.9,3.8,3.8,320.0
Erzurum,Renault ,1.0 TCe Joy ,Clio ,2020,Benzin,0,100,999,179900,6.3,4.1,5.0,391.0
Bursa,Renault ,1.0 TCe Joy ,Clio ,2020,Benzin,10,100,999,179900,6.3,4.1,5.0,391.0
Istanbul,Renault ,1.5 dCi Icon ,Fluence ,2015,Dizel,44000,110,1461,179800,5.2,4.0,4.4,530.0
Ankara,Renault ,1.0 TCe Touch ,Clio ,2020,Benzin,7,100,999,179900,6.3,4.1,5.0,391.0
Gaziantep,Volkswagen ,1.0 TSI Comfortline ,Polo ,2018,Benzin,30000,95,999,179900,5.7,4.0,4.6,351.0
Izmir,Skoda ,1.0 GreenTec Style ,Fabia ,2018,Benzin,31668,110,999,179900,5.4,4.1,4.6,305.0
Istanbul,Toyota ,1.4 D-4D Touch ,Corolla ,2017,Dizel,38000,90,1364,179900,4.9,3.7,4.1,452.0
Antalya,Opel ,1.4 Enjoy ,Corsa ,2016,Benzin,29000,88.0,1450.5,169000,nan,,,
Erzurum,Renault ,1.0 TCe Touch ,Clio ,2020,Benzin,7000,100,999,179900,6.3,4.1,5.0,391.0
Hatay,Volkswagen ,1.2 TSI Comfortline ,Polo ,2016,Benzin,48500,90,1197,179900,5.8,4.1,4.7,280.0
Istanbul,Hyundai ,1.4 MPI Elite ,i20 ,2018,Benzin,30000,100,1368,179900,8.5,5.1,6.4,301.0
Ankara,Renault ,1.5 dCi Touch ,Clio ,2017,Dizel,33900,90,1461,179900,4.3,3.3,3.7,300.0
Erzurum,Renault ,1.0 TCe Joy ,Clio ,2020,Benzin,0,100,999,179900,6.3,4.1,5.0,391.0
Istanbul,Opel ,1.4 T Enjoy ,Astra ,2017,Benzin,26000,150,1399,179900,7.2,4.5,5.5,370.0
Van,Hyundai ,1.4 MPI Style  ,i20 ,2018,Benzin & LPG,14000,100,1368,179900,8.5,5.1,6.4,301.0
Balikesir,Honda ,1.6i VTEC Eco Elegance ,Civic ,2012,Benzin & LPG,26000,125,1595,179900,9.1,5.4,6.7,389.0
Izmir,Renault ,1.0 TCe Touch ,Clio ,2020,Benzin,7000,100,999,179900,6.3,4.1,5.0,391.0
Zonguldak,Hyundai ,1.6 CRDi Blue Drive ,i30 ,2015,Dizel,33800,136,1582,179900,4.6,3.9,4.2,378.0
Trabzon,Mitsubishi ,1.2 Intense  ,Space Star ,2020,Benzin,7000,80,1193,179900,5.9,4.7,5.1,175.0
Adiyaman,Renault ,1.5 dCi Touch ,Clio ,2018,Dizel,19250,90,1461,179900,4.3,3.3,3.7,300.0
Zonguldak,Renault ,1.0 TCe Joy ,Clio ,2020,Benzin,1,100,999,179900,6.3,4.1,5.0,391.0
Istanbul,Hyundai ,1.6 CRDI Mode Plus ,Accent Blue ,2018,Dizel,37000,136,1582,179900,5.7,4.0,4.6,465.0
Denizli,Renault ,1.5 dCi Icon ,Clio ,2019,Dizel,48500,90,1461,179900,4.3,3.3,3.7,300.0
Istanbul,Dacia ,1.5 dCi Stepway Style  ,Sandero ,2018,Dizel,18000,90,1461,179900,3.9,3.8,3.8,320.0
Nigde,Fiat ,1.6 Multijet Lounge ,Egea ,2017,Dizel,35000,120,1598,179900,4.5,3.5,3.9,520.0
Adana,Volkswagen ,1.4 TSI Comfortline ,Golf ,2015,Benzin,39000,125,1395,179900,6.2,4.3,5.0,380.0
Istanbul,Hyundai ,1.4 MPI Elite ,i20 ,2019,Benzin,8000,100,1368,179900,8.5,5.1,6.4,301.0
Kocaeli,Skoda ,1.0 GreenTec Style ,Fabia ,2018,Benzin,11657,110,999,179900,5.4,4.1,4.6,305.0
Hatay,Kia ,1.4 CVVT Elegance  ,Rio ,2018,Benzin & LPG,31592,100,1368,179900,7.3,5.2,5.9,325.0
Diyarbakir,Renault ,1.0 TCe Touch ,Clio ,2020,Benzin,1750,100,999,179900,6.3,4.1,5.0,391.0
Mersin,Hyundai ,1.4 MPI Style  ,i20 ,2019,Benzin,34000,100,1368,179900,8.5,5.1,6.4,301.0
Bursa,Renault ,1.0 TCe Joy ,Clio ,2020,Benzin,0,100,999,179900,6.3,4.1,5.0,391.0
Kirikkale,Hyundai ,1.6 CRDI Mode Plus ,Accent Blue ,2018,Dizel,46000,136,1582,179900,5.7,4.0,4.6,465.0
Istanbul,Suzuki ,1.2 GLX  ,Swift ,2019,Benzin,28000,90,1242,179950,5.9,4.3,4.9,242.0
Bursa,Volkswagen ,1.6 TDI Comfortline ,Polo ,2012,Dizel,35413,90,1598,179950,5.2,3.7,4.3,280.0
Istanbul,Fiat ,1.6 Multijet Easy  ,Egea ,2019,Dizel,47000,113.0,1450.5,179950,nan,,,
Ankara,Hyundai ,1.6 GDi Elite ,i30 ,2013,Benzin,45000,135,1591,179950,9.1,5.3,6.7,378.0
Mersin,Hyundai ,1.4 MPI Style  ,i20 ,2019,Benzin,13800,100,1368,179950,8.5,5.1,6.4,301.0
Istanbul,Skoda ,1.2 TSI GreenTec Spaceback Style ,Rapid ,2017,Benzin,34986,90,1197,179950,5.8,4.1,4.7,415.0
Kocaeli,Volkswagen ,1.2 TSI Lounge ,Polo ,2015,Benzin,33000,90,1197,179950,5.8,4.1,4.7,280.0
Istanbul,Renault ,1.5 dCi Icon ,Clio ,2017,Dizel,43649,88.0,1450.5,179950,nan,,,
Istanbul,Opel ,1.4 Enjoy ,Corsa ,2019,Benzin,26800,90,1398,179950,7.8,4.9,6.0,285.0
Samsun,Kia ,1.4 CVVT Cool  ,Rio ,2020,Benzin,0,100,1368,179990,7.3,5.2,5.9,325.0
Istanbul,Kia ,1.4 CVVT Cool  ,Rio ,2020,Benzin,0,100,1368,179990,7.3,5.2,5.9,325.0
Istanbul,Smart ,1.0 Passion ,Fortwo ,2016,Benzin,50000,71,999,179999,4.7,3.7,4.1,190.0
Izmir,Volkswagen ,1.4 TSI BlueMotion Trendline ,Jetta ,2017,Benzin,44000,125,1395,179999,6.1,4.3,5.0,510.0
Ankara,Volkswagen ,1.2 TSI Comfortline ,Polo ,2017,Benzin,27650,90,1197,180000,5.8,4.1,4.7,280.0
Kutahya,Volkswagen ,1.2 TSI Lounge ,Polo ,2016,Benzin,37742,90,1197,180000,5.8,4.1,4.7,280.0
Istanbul,Skoda ,1.2 TSI GreenTec Spaceback Style ,Rapid ,2015,Benzin,40000,90,1197,180000,5.8,4.1,4.7,415.0
Istanbul,Fiat ,1.6 E-Torq Easy ,Egea ,2019,Benzin,13300,110,1598,180000,8.5,5.0,6.3,520.0
Denizli,Hyundai ,1.4 MPI Style  ,i20 ,2019,Benzin & LPG,47000,100,1368,180000,8.5,5.1,6.4,301.0
Ankara,Renault ,1.0 TCe Touch ,Clio ,2020,Benzin,2500,100,999,180000,6.3,4.1,5.0,391.0
Bolu,Volkswagen ,1.2 TSI Comfortline ,Polo ,2016,Benzin,26000,90,1197,180000,5.8,4.1,4.7,280.0
Mersin,Toyota ,1.6 Comfort ,Corolla ,2013,Benzin,18900,124,1598,180000,0.9,5.9,7.1,450.0
Bolu,Opel ,1.4 Essentia ,Corsa ,2017,Benzin,9900,90,1398,180000,7.8,4.9,6.0,285.0
Istanbul,Ford ,1.6 Ti-VCT Trend X ,Focus ,2017,Benzin,50000,125,1596,180000,8.7,4.9,6.3,316.0
Istanbul,Hyundai ,1.4 MPI Elite ,i20 ,2015,Benzin,29260,100,1368,178000,8.5,5.1,6.4,301.0
Mersin,Hyundai ,1.4 MPI Style  ,i20 ,2019,Benzin,23000,100,1368,180000,8.5,5.1,6.4,301.0
Denizli,Hyundai ,1.4 MPI Elite ,i20 ,2018,Benzin,50000,100,1368,180000,8.5,5.1,6.4,301.0
Kastamonu,Hyundai ,1.4 MPI Style  ,i20 ,2019,Benzin,18000,100,1368,180000,8.5,5.1,6.4,301.0
Istanbul,Hyundai ,1.4 MPI Style  ,i20 ,2019,Benzin,6000,88.0,1450.5,180000,nan,,,
Istanbul,Skoda ,1.2 TSI Style ,Fabia ,2016,Benzin,45000,110,1197,180000,5.8,4.1,4.7,315.0
Aksaray,Renault ,1.5 dCi Touch ,Fluence ,2015,Dizel,34300,110,1461,180000,5.2,4.0,4.4,530.0
Antalya,Fiat ,1.6 Multijet Lounge ,Egea ,2016,Dizel,41000,120,1598,180000,4.5,3.5,3.9,520.0
Malatya,Renault ,1.0 TCe Joy ,Clio ,2020,Benzin,0,100,999,180000,6.3,4.1,5.0,391.0
Konya,Hyundai ,1.4 MPI Style  ,i20 ,2018,Benzin,10000,100,1368,180000,8.5,5.1,6.4,301.0
Adana,Toyota ,1.6 Advance ,Corolla ,2013,Benzin,39900,132,1598,180000,7.8,5.2,6.1,452.0
Bursa,Opel ,1.4 120.Yil ,Corsa ,2019,Benzin,7000,90,1398,180000,7.8,4.9,6.0,285.0
Antalya,Hyundai ,1.6 CRDI Mode Plus ,Accent Blue ,2017,Dizel,49900,136,1582,180000,5.7,4.0,4.6,465.0
Antalya,Volkswagen ,1.4 TDI Comfortline ,Polo ,2017,Dizel,50000,90,1422,180000,3.9,3.3,3.5,280.0
Diyarbakir,Opel ,1.4 Essentia ,Corsa ,2017,Benzin & LPG,32800,90,1398,180000,7.8,4.9,6.0,285.0
Istanbul,Opel ,1.4 Enjoy ,Corsa ,2019,Benzin,11000,90,1398,180000,7.8,4.9,6.0,285.0
Istanbul,Hyundai ,1.4 MPI Jump ,i20 ,2020,Benzin,14960,100,1368,180000,8.5,5.1,6.4,301.0
Konya,Opel ,1.4 T Sport ,Astra ,2015,Benzin,20000,140,1364,180000,9.1,5.4,6.8,370.0
Duzce,Toyota ,1.5 Fun Special ,Yaris ,2018,Benzin,30000,111,1496,180000,6.0,4.1,4.8,286.0
Istanbul,Renault ,1.5 dCi Icon ,Clio ,2017,Dizel,44975,90,1461,180000,4.3,3.3,3.7,300.0
Ordu,Renault ,1.0 TCe Joy ,Clio ,2020,Benzin,15,100,999,180000,6.3,4.1,5.0,391.0
Istanbul,Hyundai ,1.4 MPI Jump ,i20 ,2020,Benzin,13210,100,1368,180000,8.5,5.1,6.4,301.0
Istanbul,Renault ,1.0 TCe Touch ,Clio ,2020,Benzin,1200,100,999,180000,6.3,4.1,5.0,391.0
Samsun,Skoda ,1.0 TSI GreenTec Spaceback Dynamic ,Rapid ,2017,Benzin,34635,95,999,180000,5.5,4.1,4.6,384.0
Mugla,Hyundai ,1.4 MPI Elite ,i20 ,2018,Benzin,47000,100,1368,180000,8.5,5.1,6.4,301.0
Mersin,Toyota ,1.6 Advance Skypack ,Auris ,2014,Benzin,45000,132,1598,180000,7.4,4.8,5.7,353.0
Istanbul,Hyundai ,1.4 MPI Jump ,i20 ,2020,Benzin,18150,100,1368,180000,8.5,5.1,6.4,301.0
Kayseri,Volkswagen ,1.2 TSI Comfortline ,Polo ,2017,Benzin,15500,90,1197,180000,5.8,4.1,4.7,280.0
Istanbul,Hyundai ,1.0 T-GDI Elite ,i20 ,2019,Benzin,33500,120,998,180000,6.2,4.5,5.1,301.0
Ankara,Volkswagen ,1.0 TSI Comfortline ,Polo ,2017,Benzin,30000,95,999,180000,5.7,4.0,4.6,351.0
Sakarya,Renault ,1.5 dCi Icon ,Fluence ,2016,Dizel,31255,110,1461,180000,5.2,4.0,4.4,530.0
Istanbul,Hyundai ,1.4 MPI Elite Smart ,i20 ,2018,Benzin,39000,100,1368,180000,8.5,5.1,6.4,301.0
Istanbul,Volkswagen ,1.2 TSI Comfortline ,Polo ,2017,Benzin,18460,90,1197,180000,5.8,4.1,4.7,280.0
Istanbul,Opel ,1.4 Essentia ,Corsa ,2019,Benzin,14000,90,1398,180000,7.8,4.9,6.0,285.0
Istanbul,Renault ,1.5 dCi Icon ,Clio ,2018,Dizel,47692,90,1461,180000,4.3,3.3,3.7,300.0
Istanbul,Hyundai ,1.6 D-CVVT Style ,Elantra ,2017,Benzin & LPG,41924,128,1591,180000,9.5,5.4,6.9,485.0
Istanbul,Volkswagen ,1.0 TSI Comfortline ,Polo ,2018,Benzin,30000,95,999,180000,5.7,4.0,4.6,351.0
Bursa,Honda ,1.6i VTEC Premium ,Civic ,2011,Benzin,34000,125,1595,180000,9.1,5.4,6.7,389.0
Istanbul,Toyota ,1.4 D-4D Advance Skypack ,Auris ,2014,Dizel,27000,90,1364,180000,4.9,3.8,4.2,353.0
Istanbul,Skoda ,1.0 TSI GreenTec Spaceback Dynamic ,Rapid ,2017,Benzin,27000,95,999,180000,5.5,4.1,4.6,384.0
Isparta,Volkswagen ,1.2 TSI Comfortline ,Polo ,2015,Benzin,14000,90,1197,180000,5.8,4.1,4.7,280.0
Aydin,Opel ,1.4 T Sport ,Astra ,2014,Benzin,45237,140,1364,180000,9.1,5.4,6.8,370.0
Kocaeli,Renault ,1.0 TCe Touch ,Clio ,2020,Benzin,140,100,999,180000,6.3,4.1,5.0,391.0
Ankara,Renault ,1.5 dCi Icon ,Fluence ,2014,Dizel,30100,110,1461,180000,5.2,4.0,4.4,530.0
Istanbul,Skoda ,1.0 GreenTec Style ,Fabia ,2018,Benzin,20000,110,999,180000,5.4,4.1,4.6,305.0
Istanbul,Honda ,1.6i VTEC Eco Elegance ,Civic ,2013,Benzin,37000,125,1595,180000,9.1,5.4,6.7,389.0
Istanbul,Opel ,1.4 T Edition Plus ,Astra ,2020,Benzin,10000,140,1364,180000,8.5,5.6,6.7,460.0
Izmir,Renault ,1.0 TCe Joy ,Clio ,2020,Benzin,31,100,999,180000,6.3,4.1,5.0,391.0
Istanbul,Renault ,1.5 dCi Icon ,Fluence ,2015,Dizel,44000,110,1461,180000,5.2,4.0,4.4,530.0
Kayseri,Skoda ,1.6 CR TDI Elegance ,Rapid ,2013,Dizel,50000,90,1598,180000,5.6,3.9,4.5,530.0
Adana,Kia ,1.6 CRDi Premium ,Ceed ,2015,Dizel,42000,136,1582,180000,4.6,3.9,4.2,380.0
Istanbul,Renault ,1.5 dCi Icon ,Clio ,2017,Dizel,41000,90,1461,180000,4.3,3.3,3.7,300.0
Balikesir,Renault ,1.2 Turbo Icon ,Clio ,2018,Benzin,21000,120,1197,180000,6.6,4.4,5.2,300.0
Kahramanmaras,Hyundai ,1.4 MPI Style  ,i20 ,2019,Benzin,16000,100,1368,180000,8.5,5.1,6.4,301.0
Corum,Toyota ,1.5 Fun Special ,Yaris ,2017,Benzin,20750,111,1496,180000,6.0,4.1,4.8,286.0
Ankara,Opel ,1.4 T Sport ,Astra ,2015,Benzin,50000,140,1364,180000,9.1,5.4,6.8,370.0
Aydin,Renault ,1.5 dCi Touch ,Clio ,2018,Dizel,28000,90,1461,180000,4.3,3.3,3.7,300.0
Kayseri,Renault ,1.5 dCi Icon ,Clio ,2017,Dizel,46000,90,1461,180000,4.3,3.3,3.7,300.0
Ankara,Volkswagen ,1.2 TSI Comfortline ,Polo ,2017,Benzin,19000,90,1197,180000,5.8,4.1,4.7,280.0
Trabzon,Dacia ,1.5 dCi Stepway ,Sandero ,2018,Dizel,30850,90,1461,180000,3.9,3.8,3.8,320.0
Konya,Volkswagen ,1.2 TSI Lounge ,Polo ,2015,Benzin,12000,90,1197,180000,5.8,4.1,4.7,280.0
Sanliurfa,Opel ,1.4 T Edition Plus ,Astra ,2017,Benzin & LPG,50000,140,1364,180000,8.5,5.6,6.7,460.0
Istanbul,Volkswagen ,1.0 TSI Highline  ,Polo ,2017,Benzin,35571,95,999,180000,5.7,4.0,4.6,351.0
Mersin,Hyundai ,1.4 MPI Elite ,i20 ,2017,Benzin & LPG,48000,100,1368,180000,8.5,5.1,6.4,301.0
Izmir,Ford ,1.6 Titanium X ,Fiesta ,2017,Benzin,25000,113.0,1450.5,180000,nan,,,
Antalya,Hyundai ,1.4 MPI Style  ,i20 ,2020,Benzin,22600,100,1368,180000,8.5,5.1,6.4,301.0
Istanbul,Hyundai ,1.4 MPI Elite ,i20 ,2017,Benzin,25000,100,1368,180000,8.5,5.1,6.4,301.0
Denizli,Renault ,1.5 dCi Touch ,Clio ,2019,Dizel,36000,90,1461,180000,4.3,3.3,3.7,300.0
Istanbul,Volkswagen ,1.4 TDI Comfortline ,Polo ,2017,Dizel,39000,90,1422,180000,3.9,3.3,3.5,280.0
Istanbul,Hyundai ,1.6 MPI Elite  ,Elantra ,2019,Benzin,10279,127,1591,180000,8.8,5.5,6.7,458.0
Bitlis,Toyota ,1.4 D-4D Advance ,Corolla ,2015,Dizel,50000,90,1364,180000,4.9,3.7,4.1,452.0
Izmir,Hyundai ,1.4 MPI Style  ,i20 ,2019,Benzin,11350,100,1368,180000,8.5,5.1,6.4,301.0
Ankara,Renault ,1.0 TCe Touch ,Clio ,2020,Benzin,6400,100,999,180000,6.3,4.1,5.0,391.0
Ankara,Renault ,1.5 dCi Icon ,Clio ,2018,Dizel,36800,90,1461,180000,4.3,3.3,3.7,300.0
Izmir,Renault ,1.0 TCe Touch ,Clio ,2020,Benzin,0,100,999,180000,6.3,4.1,5.0,391.0
Ankara,Hyundai ,1.4 MPI Elite Smart ,i20 ,2015,Benzin & LPG,47000,100,1368,180000,8.5,5.1,6.4,301.0
Istanbul,Audi ,A3 Hatchback 1.4 TFSI 1.4 TFSI ,A3 ,2009,Benzin,40000,113.0,1450.5,180000,nan,,,
Ankara,Toyota ,1.5 Style ,Yaris ,2019,Benzin,13000,111,1496,180000,6.0,4.1,4.8,286.0
Afyonkarahisar,Ford ,1.0 Titanium ,Fiesta ,2018,Benzin,28900,100,998,180000,6.9,4.2,5.2,303.0
Istanbul,Volkswagen ,1.2 TSI Allstar ,Polo ,2016,Benzin,29000,90,1197,180000,5.8,4.1,4.7,280.0
Izmir,Renault ,1.0 TCe Joy ,Clio ,2020,Benzin,26,100,999,180000,6.3,4.1,5.0,391.0
Adana,Ford ,1.5 TDCi Style  ,Focus ,2015,Dizel,149,120,1499,180000,4.7,3.9,4.2,421.0
Aksaray,Toyota ,1.6 Advance ,Corolla ,2015,Benzin,43500,132,1598,180000,7.8,5.2,6.1,452.0
Istanbul,Volkswagen ,1.4 TDI Comfortline ,Polo ,2016,Dizel,45000,90,1422,180000,3.9,3.3,3.5,280.0
Samsun,Hyundai ,1.4 MPI Elite Smart ,i20 ,2018,Benzin,37000,100,1368,180000,8.5,5.1,6.4,301.0
Sakarya,Renault ,1.5 dCi Touch ,Clio ,2018,Dizel,27000,90,1461,180000,4.3,3.3,3.7,300.0
Ordu,Renault ,1.0 TCe Joy ,Clio ,2020,Benzin,675,100,999,180000,6.3,4.1,5.0,391.0
Istanbul,Renault ,1.5 dCi Touch ,Clio ,2019,Dizel,38500,90,1461,178000,4.3,3.3,3.7,300.0
Malatya,Ford ,1.6 Titanium ,Fiesta ,2017,Benzin,14975,105,1596,180000,8.4,4.5,5.9,290.0
Istanbul,Fiat ,500C 1.2 Lounge ,500 Ailesi ,2016,Benzin,45000,63.0,1300,180000,nan,,,
Bingol,Hyundai ,1.4 MPI Elite Smart ,i20 ,2018,Benzin,37700,100,1368,180000,0.9,5.4,6.7,301.0
Kars,Opel ,1.4 T Sport ,Astra ,2017,Benzin,34200,140,1364,180000,8.5,5.6,6.7,460.0
Istanbul,Seat ,Style ,Toledo 1.4 TDI ,2016,Dizel,39800,90,1422,180000,4.2,3.6,3.8,550.0
Ankara,Renault ,1.5 dCi SportTourer Touch  ,Clio ,2018,Dizel,19000,90,1461,180000,4.3,3.3,3.7,443.0
Sakarya,Toyota ,1.33 Style X-Trend Skypack ,Yaris ,2016,Benzin,46000,98,1329,180000,6.3,4.5,5.1,286.0
Izmir,Volkswagen ,1.2 TSI Lounge ,Polo ,2015,Benzin,47550,90,1197,177000,5.8,4.1,4.7,280.0
Bayburt,Hyundai ,1.4 MPI Style  ,i20 ,2017,Benzin,25000,100,1368,180000,8.5,5.1,6.4,301.0
Kocaeli,Toyota ,1.4 D-4D Advance ,Corolla ,2014,Dizel,135,90,1364,180000,4.9,3.7,4.1,452.0
Izmir,Honda ,1.6i VTEC Premium ,Civic ,2010,Benzin,37000,125,1595,180000,9.1,5.4,6.7,389.0
Ankara,Volkswagen ,1.2 TSI Comfortline ,Polo ,2017,Benzin,27000,90,1197,180000,5.8,4.1,4.7,280.0
Sanliurfa,Renault ,1.5 dCi Icon ,Clio ,2018,Dizel,41000,90,1461,180000,4.3,3.3,3.7,300.0
Amasya,Hyundai ,1.4 MPI Style  ,i20 ,2019,Benzin,19000,100,1368,180000,8.5,5.1,6.4,301.0
Karabuk,Skoda ,1.0 GreenTec Style ,Fabia ,2018,Benzin,46500,110,999,180000,5.4,4.1,4.6,305.0
Aydin,Volkswagen ,1.4 TDI Comfortline ,Polo ,2015,Dizel,46000,90,1422,180000,3.9,3.3,3.5,280.0
Istanbul,Skoda ,1.0 GreenTec Style ,Fabia ,2018,Benzin,27000,110,999,180000,5.4,4.1,4.6,305.0
Zonguldak,Mitsubishi ,1.2 Intense  ,Space Star ,2020,Benzin,1300,80,1193,180000,5.9,4.7,5.1,175.0
Istanbul,Volkswagen ,1.4 TDI Comfortline ,Polo ,2017,Dizel,50000,90,1422,180000,3.9,3.3,3.5,280.0
Bursa,Hyundai ,1.4 MPI Elite ,i20 Active ,2017,Benzin,13000,100,1368,180000,0.9,5.4,6.7,301.0
Istanbul,Renault ,1.5 dCi Touch ,Clio ,2018,Dizel,25000,90,1461,180000,4.3,3.3,3.7,300.0
Kayseri,Renault ,1.0 TCe Touch ,Clio ,2020,Benzin,20000,100,999,180000,6.3,4.1,5.0,391.0
Ankara,Renault ,1.5 dCi Icon ,Clio ,2018,Dizel,26000,90,1461,176000,4.3,3.3,3.7,300.0
Istanbul,Volkswagen ,1.2 TSI Trendline ,Jetta ,2013,Benzin,30146,105,1197,180000,6.8,4.7,5.4,510.0
Istanbul,Honda ,1.6i VTEC Elegance ,Civic ,2015,Benzin & LPG,40000,125,1598,180000,9.5,5.1,6.7,440.0
Istanbul,Opel ,1.4 120.Yil ,Corsa ,2019,Benzin,11300,90,1398,180000,7.8,4.9,6.0,285.0
Nigde,Renault ,1.5 dCi Icon ,Clio ,2018,Dizel,36000,90,1461,180000,4.3,3.3,3.7,300.0
Izmir,Hyundai ,1.4 MPI Elite ,i20 ,2018,Benzin,41000,100,1368,179000,8.5,5.1,6.4,301.0
Istanbul,Hyundai ,1.4 MPI Elite Smart ,i20 Active ,2018,Benzin,33000,100,1368,180000,0.9,5.4,6.7,301.0
Istanbul,Opel ,1.4 T Edition Plus ,Astra ,2020,Benzin,24500,140,1364,180000,8.5,5.6,6.7,460.0
Adana,Ford ,1.6 Ti-VCT Style ,Focus ,2015,Benzin,27000,125,1596,180000,8.7,4.9,6.3,316.0
Denizli,Volkswagen ,1.2 TSI Comfortline ,Polo ,2017,Benzin,34500,90,1197,180000,5.8,4.1,4.7,280.0
Elazig,Renault ,1.0 TCe Joy ,Clio ,2020,Benzin,5000,100,999,180000,6.3,4.1,5.0,391.0
Istanbul,Toyota ,1.5 Fun Special ,Yaris ,2019,Benzin,6000,111,1496,180000,6.0,4.1,4.8,286.0
Isparta,Fiat ,1.6 Multijet Lounge ,Egea ,2017,Dizel,43500,120,1598,179900,4.5,3.5,3.9,520.0
Istanbul,Honda ,1.6i VTEC Eco Premium ,Civic ,2013,Benzin,43000,125,1595,180000,9.1,5.4,6.7,389.0
Mersin,Renault ,1.0 TCe Joy ,Clio ,2020,Benzin,1200,100,999,180000,6.3,4.1,5.0,391.0
Malatya,Hyundai ,1.4 MPI Style  ,i20 ,2019,Benzin,7863,100,1368,180000,8.5,5.1,6.4,301.0
Tokat,Hyundai ,1.4 MPI Elite Smart ,i20 ,2017,Benzin,39100,100,1368,180000,8.5,5.1,6.4,301.0
Bursa,Renault ,1.0 TCe Joy ,Clio ,2020,Benzin,300,100,999,180000,6.3,4.1,5.0,391.0
Istanbul,Hyundai ,1.4 MPI Elite Smart ,i20 ,2018,Benzin,33000,100,1368,180000,8.5,5.1,6.4,301.0
Kocaeli,Kia ,1.4 CVVT Cool  ,Rio ,2019,Benzin,17000,100,1368,180000,7.3,5.2,5.9,325.0
Antalya,Peugeot ,1.2 Puretech Active ,308 ,2015,Benzin,49317,130,1199,180000,6.4,4.3,5.1,420.0
Istanbul,Hyundai ,1.4 MPI Elite Smart ,i20 ,2018,Benzin,33000,100,1368,180000,8.5,5.1,6.4,301.0
Istanbul,Hyundai ,1.4 MPI Style  ,i20 ,2019,Benzin,22500,100,1368,179000,8.5,5.1,6.4,301.0
Mugla,Renault ,1.2 Turbo Icon ,Clio ,2017,Benzin,12200,120,1197,180000,6.6,4.4,5.2,300.0
Konya,Hyundai ,1.6 GDi Style Desing Pack ,i30 ,2015,Benzin,43100,135,1591,180000,7.5,4.8,5.8,378.0
